Date,Country,State,Measure,value,daily_change
2020-01-22T00:00:00Z,Honduras,NA,recovered,0,0
2020-01-22T00:00:00Z,Hungary,NA,confirmed,0,0
2020-01-22T00:00:00Z,Hungary,NA,deaths,0,0
2020-01-22T00:00:00Z,Hungary,NA,recovered,0,0
2020-01-22T00:00:00Z,Iceland,NA,confirmed,0,0
2020-01-22T00:00:00Z,Iceland,NA,deaths,0,0
2020-01-22T00:00:00Z,Iceland,NA,recovered,0,0
2020-01-22T00:00:00Z,India,NA,confirmed,0,0
2020-01-22T00:00:00Z,India,NA,deaths,0,0
2020-01-22T00:00:00Z,India,NA,recovered,0,0
2020-01-22T00:00:00Z,Indonesia,NA,confirmed,0,0
2020-01-22T00:00:00Z,Indonesia,NA,deaths,0,0
2020-01-22T00:00:00Z,Indonesia,NA,recovered,0,0
2020-01-22T00:00:00Z,Iran,NA,confirmed,0,0
2020-01-22T00:00:00Z,Iran,NA,deaths,0,0
2020-01-22T00:00:00Z,Iran,NA,recovered,0,0
2020-01-22T00:00:00Z,Iraq,NA,confirmed,0,0
2020-01-22T00:00:00Z,Iraq,NA,deaths,0,0
2020-01-22T00:00:00Z,Iraq,NA,recovered,0,0
2020-01-22T00:00:00Z,Ireland,NA,confirmed,0,0
2020-01-22T00:00:00Z,Ireland,NA,deaths,0,0
2020-01-22T00:00:00Z,Ireland,NA,recovered,0,0
2020-01-22T00:00:00Z,Israel,NA,confirmed,0,0
2020-01-22T00:00:00Z,Israel,NA,deaths,0,0
